rank,city,messages_mentioning,total_messages,pct_of_messages
1,هرمز,8,55,14.5
2,شنبه,4,55,7.3
3,تهران,3,55,5.5
4,اهل,2,55,3.6
5,اهرم,1,55,1.8
6,فریمان,1,55,1.8
7,مشهد,1,55,1.8
8,مهر,1,55,1.8
9,بانه,1,55,1.8
10,سقز,1,55,1.8
11,ترک,1,55,1.8
12,شیراز,1,55,1.8
13,خواجه,1,55,1.8
14,قشم,1,55,1.8
