rank,city,messages_mentioning,total_messages,pct_of_messages
1,مهر,13,37,35.1
2,تهران,10,37,27.0
3,هرمز,8,37,21.6
4,شنبه,2,37,5.4
5,مشهد,2,37,5.4
6,پیشین,2,37,5.4
7,صحنه,1,37,2.7
8,ساوه,1,37,2.7
9,قاین,1,37,2.7
10,همدان,1,37,2.7
11,بیرجند,1,37,2.7
12,قم,1,37,2.7
13,قاضی,1,37,2.7
14,ترک,1,37,2.7
15,رشت,1,37,2.7
16,کیان,1,37,2.7
17,بهار,1,37,2.7
18,شیراز,1,37,2.7
19,کیش,1,37,2.7
20,بندرعباس,1,37,2.7
21,قشم,1,37,2.7
22,سراوان,1,37,2.7
23,قدس,1,37,2.7
24,میناب,1,37,2.7
25,خوی,1,37,2.7
26,ساری,1,37,2.7
